Username,Content,Post Time,Shares,Comments,Likes
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
周荣建_,"#小米su7# 小米汽车APP做的确实可以，特别是这个哨兵模式，可以支持全范围的监控

可以说是无死角保护爱车的小能手了#熊本聊车#",4-22 13:46,11,2,6
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
周荣建_,"#小米su7# 小米汽车APP做的确实可以，特别是这个哨兵模式，可以支持全范围的监控

可以说是无死角保护爱车的小能手了#熊本聊车#",4-22 13:46,11,2,6
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
周荣建_,"#小米su7# 小米汽车APP做的确实可以，特别是这个哨兵模式，可以支持全范围的监控

可以说是无死角保护爱车的小能手了#熊本聊车#",4-22 13:46,11,2,6
喜提小蚂蚁,"小米su7锁单超过7万台，牛逼克拉斯。

#小米su7#",4-22 22:00,转发,1,1
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
科技Yttrium,"#弱智吧占领知乎#
早上起来发现有人邀请我回答问题，我仔细想了想，提问人的思路不对。
如果没买#小米su7# ，不应该按一台算钱，应该按7万台算。
雷总相当于赚了70000*6800=476000000元。
应该退给提问者476000000-800=475999200元。
小米汽车",4-22 22:02,3,5,18
景天mu,"#小米su7##小米汽车#

在今天的投资者大会上，雷总表示小米SU7的锁单量已经超过7万了

说明不是轿跑卖不出去，而是没有诚意的轿跑才卖不出去

像小米SU7这种诚意满满的车，及时现在锁单已经要等大半年，也没有阻挡大家对于它的热情",4-22 22:01,转发,1,5
Brothers兄弟帮,#雷军宣布小米汽车锁单7万台！# 刚刚，雷军在投资者大会上宣布小米su7锁单7万台，创中国新能源首销（还不到一个月）销售记录，不知道有没有后无来者，但目前前无古人 小米汽车#小米su7#,4-22 22:00,转发,评论,2
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
周荣建_,"#小米su7# 小米汽车APP做的确实可以，特别是这个哨兵模式，可以支持全范围的监控

可以说是无死角保护爱车的小能手了#熊本聊车#",4-22 13:46,11,2,6
PQ-管仲窥豹,"#小米su7# 翼子板怎么回事？
难道真是强度不足被积水冲坏的？
如果翼子板与车身链接强度不足➕较高速度通过积水路段，积水的冲击力真有可能冲坏翼子板。
#大v聊车#",4-23 转赞人数超过10,1,16,14
喜提小蚂蚁,"小米su7锁单超过7万台，牛逼克拉斯。

#小米su7#",4-22 22:00,转发,1,1
刘校臣,#小米su7# 发布不到一个月就卖了7w台，着实让友商羡慕了，只可惜我没有贡献一台,4-22 21:59,转发,1,1
宣城市广播电视台,"#小米su7# 【小米雷军在广德试车？！】今天早晨，小米集团董事长雷军在其个人微博发布一年前在安徽广德试验场测试小米SU7的画面。为何选择在宣城广德测试呢？
上海汽检广德分公司坐落于安徽省广德市，是上海汽检全资投资建设的“试验室+试验场”一体化的车辆检测基地，占地超700亩。2012年，上海通用广 ...全文",4-22 21:50,转发,1,赞
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
周荣建_,"#小米su7# 小米汽车APP做的确实可以，特别是这个哨兵模式，可以支持全范围的监控

可以说是无死角保护爱车的小能手了#熊本聊车#",4-22 13:46,11,2,6
科技Yttrium,"#弱智吧占领知乎#
早上起来发现有人邀请我回答问题，我仔细想了想，提问人的思路不对。
如果没买#小米su7# ，不应该按一台算钱，应该按7万台算。
雷总相当于赚了70000*6800=476000000元。
应该退给提问者476000000-800=475999200元。
小米汽车",4-22 22:02,3,5,18
景天mu,"#小米su7##小米汽车#

在今天的投资者大会上，雷总表示小米SU7的锁单量已经超过7万了

说明不是轿跑卖不出去，而是没有诚意的轿跑才卖不出去

像小米SU7这种诚意满满的车，及时现在锁单已经要等大半年，也没有阻挡大家对于它的热情",4-22 22:01,转发,1,5
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
飞机先生_,"雷总用到了我们上次城区 NOA 讲解视频的两句话，可以说今年北京车展小米 NOA 开城应该很有期待了

#新能源汽车##小米汽车##小米su7#",4-22 20:26,转发,1,5
新智KK,"#2024北京车展#北京车展详细看展攻略来了，主要分四个展区，W1、2、3、4居左，E1、2、3、4在居右，从25号开始，@新智KK 会带来现场报道。

每个展厅都有看点，小米汽车在W2、比亚迪在W1、小鹏大众宝马在W4、豪车在E1、华为蔚来在E2、长城奥迪在E3、保时捷奔驰理想周鸿祎的哪吒在E4。

...全文",4-23 转赞人数超过40,3,40,51
波波玩个车,"车企老板带头卷，这次是长安朱华荣总拍对比试驾视频火了。
☑️在我看来，阿维塔12在设计高级感、智驾体验、座舱空间层面都能秒SU7的。
☑️智能座舱体验双方有来有回打平。
☑️动力、底盘驾控SU7占优。

还有一个隐性对比项，那就是质量，这方面，一般是传统大厂的优势领域。

这两台车你们会怎么选 ...全文",4-22 20:17,13,53,116
畅游胜境,#雷军称着急购车可考虑智界S7#雷总的意思也就是说：我高端我抢手，您要是急着购车，求其次，选别的也行。属于潜移默化地影响用户心智 #小米# #小米su7# 畅游胜境的微博视频,4-23 转赞人数超过100,2,55,126
电动厂花,"#华为智界S7截胡小米SU7##小米su7#
抢七大战华为是真有办法。
这个做法其实在智己L6上的时候，也有网友给出过类似的主意，就看要不要继续正面刚了。",4-23 转赞人数超过70,11,23,72
王化,"“今年打算交付多少辆车？”
“城市NOA什么时候开放？”
“第一期OTA计划什么时候上线？”
还有哪些你关心的问题？
北京车展发布会上，展开聊聊。
#小米SU7##2024北京车展#",4-23 转赞人数超过100,10,30,138
主持人王洋有话说,周鸿祎称卖迈巴赫换国产新能源，只有他接住了小米这泼天的流量 #周鸿祎##小米su7# 主持人王洋有话说的微博视频,4-23 转赞人数超过80,8,17,90
周荣建_,"#小米su7# 小米汽车APP做的确实可以，特别是这个哨兵模式，可以支持全范围的监控

可以说是无死角保护爱车的小能手了#熊本聊车#",4-22 13:46,11,2,6
Brothers兄弟帮,#雷军宣布小米汽车锁单7万台！# 刚刚，雷军在投资者大会上宣布小米su7锁单7万台，创中国新能源首销（还不到一个月）销售记录，不知道有没有后无来者，但目前前无古人 小米汽车#小米su7#,4-22 22:00,转发,评论,2
大斌说数码,"#2024北京车展#
雷军近日就#小米su7# 产能和交付速度就行回应，称标准版和Max版本已经提前交付，详细的会在本次的北京车展进行介绍，也建议着急的客户，可以选择#智界S7# 、#蔚来et5# 、#小鹏p7# 系列等国内新能源汽车，就雷总这格局，可以说在汽车界无人能及，为雷总的格局点赞！
对此大家有什 ...全文",4-22 21:45,转发,评论,1
邱锴俊,昨夜雨骤风狂，小米智驾慌不慌#小米汽车##小米su7##智驾# 邱锴俊的微博视频,4-22 21:38,1,1,6
